rubygem_id,gem_downloads
16784,92224
16785,28609
16786,46556
16788,10242
16789,83506
16790,25572
16791,10347
16792,402053
16793,10304
16794,10315
16795,14447
16796,8187
16797,16733481
16798,8175
16799,7829
16800,18476066
16801,20072
16802,5799
16803,37051
16804,23541
16805,5361422
16806,23251
16809,19082
16810,356392
16811,10504
16812,5877
16813,2299448
16814,19979
16815,5775
16816,36880
16817,5907
16818,51305
16819,5983
16820,11004
16821,2402
16822,75283
16823,2394
16824,651840
16825,28187
16826,7945
16827,32184
16828,121814
16829,57413
16830,71249
16831,19105
16832,71085
16833,1219519
16834,1192990
16835,10536
16836,35429
16837,786930
16838,340138
16839,7149590
16840,5909
16841,18833
16842,21820
16843,14624
16844,14160
16845,1152435
16846,17465
16847,16932
16848,6105
16849,17633
16850,10292
16851,5296
16852,168941
16853,71974
16854,11330
16855,4427063
16856,36003
16857,6061
16858,64098
16859,199016
16860,95244
16861,823746
16862,47710
16863,41694
16864,23507
16865,45391
16866,72003
16867,77744
16868,30036
16869,141583
16870,123893
16871,24452
16872,30817
16873,10478
16874,35147606
16875,46761
16876,65464
16877,10324
16878,156885
16879,5947
16880,56448
16881,77992
16882,11989341
16883,55853
16884,19702
16885,4849058
16886,33791784
16887,1452490
16888,45591
16889,23355
16890,10314
16891,23279
16892,313504
16893,5769
16894,62102
16895,19759
16896,102780
16897,102100
16898,257408
16899,531973
16900,422122
16901,35735
16902,15888
16903,28347
16904,10308
16905,19395
16906,21335
16907,24177
16908,144583
16909,5941
16910,26682
16911,37779
16912,14273927
16913,15056
16914,268203465
16915,44640
16916,5983
16917,6241
16918,37803
16919,118416
16920,5959
16921,32756
16922,5917
16923,14810
16924,5847
16925,6225
16926,141965
16927,18787
16928,6702
16929,7516
16930,50502
16931,5835
16932,40473
16933,6157
16934,6221
16935,5981
16936,6301
16937,6143
16938,6143
16939,6213
16940,10440
16941,14861
16942,6497
16943,517140576
16944,27765
16945,10852
16946,10350
16947,63438
16948,21117
16949,37220
16950,10770
16951,15004
16952,28151
16953,16703
16954,45196
16955,10409
16956,23546
16957,10652
16958,5961
16959,36382
16960,42148
16961,10344
16962,28033
16963,15990
16964,132247
16965,5899
16966,23522
16967,201
16968,15695
16969,14691
16970,23303
16971,21902
16972,19383
16973,14672
16974,134025
16975,5837
16976,5925
16977,15101
16978,56632
16979,14793
16980,47649
16981,193438
16982,10312
16983,31772
16984,14957
16985,23876
16986,19390
16987,10504
16988,14960
16989,32721
16990,59385
16991,42100
16992,14965
16993,15229
16994,19142
16995,246533
16996,126570
16997,19532
16998,6087
16999,10509
17000,81929
17001,10450
17002,27262
17003,10448
17004,6039
17005,22731
17006,10738
17007,14635
17008,5971
17009,19288
17010,24025
17011,25602
17012,10510
17013,10418
17014,56412
17015,23931
17016,5881
17017,15029
17018,6007
17019,47176
17020,171
17021,171
17022,169
17023,6035
17024,45554
17025,39171
17026,48355
17027,28507
17028,13999
17029,27019
17030,6139
17031,14862
17032,14713
17033,10639
17034,22887
17035,5783
17036,32124
17037,11124
17038,70917
17039,10367
17040,12335
17041,126539
17042,5857
17043,6067
17044,75981
17045,598488
17046,11301
17047,13313
17048,6909302
17049,33722
17050,5779
17051,21101
17052,14905
17053,253651
17054,56474
17055,12977
17056,51531930
17057,83543
17058,13817
17059,24619
17060,8155
17061,27642
17062,46296
17063,6223
17064,5997
17065,11029
17066,8015
17067,145867
17068,9785064
17069,7089
17070,515950
17071,85861
17072,22340
17073,185219855
17074,9359
17075,72920
17076,6031
17077,5875
17078,28453
17079,20171
17080,39736
17081,1135386
17082,80124
17083,10751
17084,643550
17085,708132
17086,5903
17087,28194
17088,6161
17089,38091
17090,5983494
17091,4188090
17092,17201
17093,10468
17094,15807
17095,1939
17096,36557
17097,5965
17098,52213
17099,188583
17100,122489
17101,163913
17102,363366
17103,439264
17104,2555163
17105,7117
17106,19895
17107,9311
17108,30165
17109,6033
17110,216460
17111,6213
17112,25462
17113,11906
17114,367147
17115,28219
17116,295039
17117,54438
17118,15632
17120,74129
17121,5961
17122,686282
17123,5971
17124,9549887
17125,20332710
17126,6291
17127,324739
17128,33683
17129,32736
17130,493265
17131,5993
17132,33611
17133,48673
17134,1278556
17135,24561
17136,6265
17137,442201
17139,39698
17140,58888
17141,51194
17142,5959
17143,38765
17144,7909
17145,5963
17146,11188
17147,132213
17148,19608
17149,19775
17150,19433
17151,6217
17152,68841
17153,6000
17154,52450
17155,12294
17156,156051
17157,24107
17158,29701
17159,77293
17160,43638
17161,5925
17162,5969
17163,6227
17164,51647848
17165,17295
17166,20867
17167,40952
17168,35234
17169,24171
17170,10488
17171,48139902
17172,19195
17173,6928
17174,5887
17175,15160
17176,23187
17177,133929
17178,1189067
17179,5871
17180,11063
17181,9867
17182,5977
17183,6145
17184,63265
17185,10553
17187,5900
17188,77216
17189,34917
17190,1451294
17191,5877
17192,739
17194,138310
17195,10314
17196,28566
17197,68386
17198,43526
17199,5927
17200,287814
17201,10588
17202,6023
17203,28468
17204,5959
17205,19648
17206,20425
17207,95217
17208,10380
17209,2840722
17210,1102548
17211,339699
17212,27599
17213,7153
17214,14905
17215,17669
17216,19616
17217,34055
17218,15331
17219,719792
17220,377176
17221,83001
17223,19634
17224,51908
17225,33574
17226,10408
17227,68662
17228,5901
17229,37784
17230,9185
17232,5672
17233,1115161
17234,5771
17235,160983
17236,75706
17237,35743
17238,11493304
17239,14927
17240,33096
17241,5849
17242,44960
17243,18315
17244,4603
17245,16300
17246,10532
17247,10713
17248,27686
17249,5879
17258,210321
17262,29347
17264,447827
17267,56365
17268,10666
17269,23892
17270,5959
17271,19650
17272,23742
17273,6151
17274,37675
17275,6419
17276,10844
17277,32775
17278,83000
17279,79078
17280,6485
17281,6213
17282,56527
17283,10564
17284,29032
17285,9413
17286,15109
17287,87451
17288,35679
17289,202054988
17290,5983
17291,16130
17292,6213
17293,6171
17294,5969
17295,39954
17296,122334
17297,1003867
17298,20102
17299,632261
17300,10606
17301,65142
17302,146494
17303,6203
17304,15100
17305,10718
17306,889996
17307,15439
